Make;Model;BodyType;BodySize;SportsLevel;Luxury;Exotic;Origin
Acura;CSX;Sedan;Compact;0;True;False;japan
Acura;EL;Sedan;Midsize;0;True;False;japan
Acura;ILX;Sedan;Compact;0;True;False;japan
Acura;MDX;SUV, Crossover;Midsize;0;True;False;japan
Acura;RDX;SUV, Crossover;Compact;0;True;False;japan
Acura;RLX;Sedan;Fullsize;0;True;False;japan
Acura;RSX;Coupe (2 door);Compact;0;True;False;japan
Acura;TL;Sedan;Midsize;0;True;False;japan
Acura;TLX;Sedan;Fullsize;0;True;False;japan
Acura;TSX;Sedan;Compact;0;True;False;japan
Audi;A3;Sedan;Subcompact;0;True;False;germany
Audi;A4;Sedan;Compact;0;True;False;germany
Audi;A4 Allroad;Hatchback;Compact;0;True;False;germany
Audi;A5;Coupe (2 door);Compact;0;True;False;germany
Audi;A6;Sedan;Midsize;0;True;False;germany
Audi;A7;Sedan;Midsize;0;True;False;germany
Audi;A8;Sedan;Fullsize;0;True;False;germany
Audi;Q3;SUV, Crossover;Compact;0;True;False;germany
Audi;Q5;SUV, Crossover;Compact;0;True;False;germany
Audi;Q7;SUV, Crossover;Midsize;0;True;False;germany
Audi;Q8;SUV, Crossover;Midsize;0;True;False;germany
Audi;R8;Sport;Compact;3;True;False;germany
Audi;RS3;Sport Sedan;Subcompact;2;True;False;germany
Audi;RS5;Coupe (2 door);Compact;2;True;False;germany
Audi;RS7;Sport Sedan;Midsize;2;True;False;germany
Audi;S3;Sport Sedan;Subcompact;1;True;False;germany
Audi;S4;Sport Sedan;Compact;1;True;False;germany
Audi;S5;Coupe (2 door);Compact;1;True;False;germany
Audi;SQ5;SUV, Crossover;Compact;1;True;False;germany
Audi;TT;Sport;Subcompact;1;True;False;germany
Audi;TT RS;Sport;Subcompact;2;True;False;germany
Bentley;Bentayga;SUV, Crossover;Fullsize;2;True;True;england
Bentley;Continental GT;Coupe (2 door);Fullsize;2;True;True;england
Bentley;Continental GTC;Coupe (2 door);Fullsize;3;True;True;england
Bentley;Flying Spur;Sedan;Fullsize;2;True;True;england
BMW;1-Series;Hatchback;Subcompact;0;True;False;germany
BMW;2-Series;Sedan;Subcompact;0;True;False;germany
BMW;3-Series;Sedan;Compact;0;True;False;germany
BMW;4-Series;Sport Sedan;Compact;0;True;False;germany
BMW;5-Series;Sedan;Midsize;0;True;False;germany
BMW;6-Series;Sport Sedan;Midsize;0;True;False;germany
BMW;7-Series;Sedan;Fullsize;0;True;False;germany
BMW;8-Series;Sport Sedan;Fullsize;0;True;False;germany
BMW;l-series;Sedan;Fullsize;0;True;False;germany
BMW;M2;Coupe (2 door);Subcompact;2;True;False;germany
BMW;M3;Sport Sedan;Compact;2;True;False;germany
